CO,Vict num,Tot vic,Tot susp,V sex,V race,V age,Crm Stat,VO_1,VO_2,VO_3,VO_4,Inc MO,Inc day,Inc YR,Week day,Death YR,Means of Death,Loc,PE,Spec Circ
1,1.0,1.0,1.0,2.0,B,18,1,23,,,,6,29,2015,2.0,2015.0,2,02,62,0.0
1,1.0,1.0,1.0,2.0,W,20,1,23,,,,8,24,2015,2.0,2015.0,2,06,99,999.0
1,1.0,1.0,1.0,1.0,B,73,1,22,,,,12,3,2015,5.0,2015.0,2,03,62,0.0
1,1.0,1.0,1.0,2.0,K,38,1,2,,,,12,7,2015,2.0,2015.0,25,24,62,999.0
1,1.0,1.0,1.0,1.0,B,35,1,1,,,,2,24,2015,3.0,2015.0,6,16,62,0.0
1,1.0,1.0,2.0,1.0,H,38,1,29,40.0,,,12,8,2015,3.0,2015.0,2,18,46,140.0
3,1.0,1.0,1.0,2.0,W,53,1,2,,,,4,4,2015,7.0,2015.0,2,24,62,0.0
5,1.0,1.0,1.0,2.0,W,64,1,2,,,,12,22,2015,3.0,2015.0,3,24,62,0.0
7,1.0,1.0,1.0,2.0,H,26,1,2,,,,9,10,2015,5.0,2015.0,1,02,45,140.0
7,1.0,1.0,1.0,1.0,B,69,1,22,,,,11,19,2015,5.0,2015.0,11,02,44,0.0
7,1.0,1.0,1.0,1.0,B,17,1,22,,,,12,4,2015,6.0,2015.0,2,01,99,999.0
7,1.0,1.0,1.0,2.0,W,67,1,2,,,,7,6,2015,2.0,2015.0,1,02,62,999.0
9,1.0,1.0,1.0,2.0,W,50,1,2,,,,4,3,2015,6.0,2015.0,7,02,62,0.0
10,1.0,2.0,1.0,2.0,A,47,1,2,,,,4,18,2015,7.0,2015.0,2,19,40,0.0
10,1.0,1.0,1.0,2.0,W,62,1,23,,,,12,28,2015,2.0,2015.0,2,99,99,999.0
10,1.0,1.0,1.0,2.0,A,33,1,2,,,,3,31,2015,3.0,2015.0,4,99,62,0.0
10,1.0,1.0,1.0,1.0,B,47,1,22,,,,6,26,2015,6.0,2015.0,6,99,62,0.0
10,2.0,2.0,1.0,2.0,H,37,1,2,,,,1,15,2015,5.0,2015.0,2,24,62,0.0
15,1.0,1.0,1.0,1.0,H,52,1,22,,,,10,4,2015,1.0,2015.0,6,02,45,999.0
15,1.0,1.0,1.0,2.0,W,55,1,2,,,,3,10,2015,3.0,2015.0,4,13,62,0.0
19,1.0,1.0,1.0,2.0,W,51,1,2,,,,2,15,2015,1.0,2015.0,2,24,62,0.0
19,1.0,1.0,1.0,2.0,H,26,1,23,,,,6,4,2015,5.0,2015.0,25,02,62,0.0
19,1.0,1.0,1.0,1.0,H,59,1,22,,,,6,16,2015,3.0,2015.0,7,03,62,0.0
19,1.0,1.0,1.0,1.0,B,61,1,22,,,,8,19,2015,4.0,2015.0,6,02,45,0.0
19,1.0,1.0,1.0,2.0,W,26,1,2,,,,10,24,2015,7.0,2015.0,7,24,62,0.0
19,1.0,1.0,1.0,2.0,B,63,1,23,,,,11,13,2015,6.0,2015.0,2,02,62,0.0
19,1.0,1.0,1.0,2.0,H,21,1,23,,,,11,16,2015,2.0,2015.0,7,99,62,0.0
19,1.0,1.0,1.0,2.0,H,35,1,23,,,,8,23,2015,1.0,2015.0,6,13,45,0.0
19,1.0,2.0,1.0,2.0,H,26,1,23,,,,10,21,2015,4.0,2015.0,20,24,62,0.0
19,2.0,2.0,1.0,2.0,C,58,1,2,,,,9,9,2015,4.0,2015.0,6,24,62,0.0
19,1.0,1.0,1.0,2.0,H,36,1,23,,,,7,24,2015,6.0,2015.0,2,02,62,0.0
19,1.0,1.0,1.0,2.0,H,32,1,23,,,,11,11,2015,4.0,2015.0,2,02,62,0.0
